name,sku,price,description,category,stock,status
NVIDIA RTX 4090,GPU-RTX4090-001,1599.99,NVIDIA GeForce RTX 4090 24GB GDDR6X - Premium gaming GPU,Graphics Cards,8,active
AMD Ryzen 9 9950X,CPU-R9-9950X-001,649.99,AMD Ryzen 9 9950X 16-core processor with X3D cache,Processors,12,active
Intel Core i9-14900KS,CPU-I9-14900KS-001,689.99,Intel Core i9-14900KS 24-core high-performance processor,Processors,10,active
Corsair Dominator Platinum RGB 64GB,RAM-DDR5-64GB-001,299.99,DDR5-6000 64GB (2x32GB) high-speed gaming RAM,Memory,25,active
Samsung 990 Pro NVMe 4TB,SSD-990PRO-4TB-001,349.99,PCIe 4.0 NVMe SSD 4TB with 7100MB/s read speed,Storage,35,active
WD Black SN850X 2TB,SSD-WD-2TB-001,179.99,PCIe 4.0 NVMe SSD 2TB enterprise-grade performance,Storage,42,active
ASUS ROG Strix Z890-E,MB-Z890-E-001,399.99,Intel Z890 LGA1851 socket ATX motherboard,Motherboards,15,active
GIGABYTE X870E-E Aorus Master,MB-X870E-001,449.99,AMD X870E socket AM5 ATX motherboard with WiFi 7,Motherboards,12,active
Noctua NH-D15 SE-AM5,COOLER-NH-D15-001,99.99,Premium dual-tower air cooler for AM5/LGA1851,Cooling,45,active
Corsair H150i Elite LCD,COOLER-H150I-001,229.99,360mm liquid CPU cooler with LCD display,Cooling,28,active
EVGA SuperNOVA 1600 T2,PSU-SN-1600-001,299.99,1600W 80+ Titanium modular power supply,Power Supplies,18,active
Corsair RM1000x,PSU-RM1000-001,159.99,1000W 80+ Gold fully modular power supply,Power Supplies,32,active
Lian Li O11 Dynamic EVO,CASE-O11-001,189.99,Premium dual-chamber ATX gaming case with mesh,Cases,22,low_stock
Fractal Design Torrent RGB,CASE-TORRENT-001,249.99,Large ATX case with 180mm fans and excellent airflow,Cases,15,active
Corsair iCUE H150i RGB PRO,RAM-RGB-001,149.99,RGB LED RAM lighting kit for DDR4/DDR5 memory,Accessories,80,active
Dell S3423DW,MONITOR-S3423DW-001,799.99,34-inch curved ultrawide QHD monitor 144Hz,Monitors,9,active
ASUS ProArt PA328QV,MONITOR-PA328QV-001,649.99,32-inch 4K HDR professional monitor with 100% Adobe RGB,Monitors,7,active
LG 27GR95QE-B,MONITOR-27GR95-001,299.99,27-inch 1440p 240Hz gaming monitor with USB-C,Monitors,18,active
Intel Arc B580,GPU-ARC-B580-001,249.99,Intel Arc B580 8GB GDDR6 budget gaming GPU,Graphics Cards,24,active
RTX 4080 Super,GPU-RTX4080S-001,999.99,NVIDIA RTX 4080 Super 16GB GDDR6X high-end gaming,Graphics Cards,11,active
